title,company,rating,location,salary,summary,post_date,record obtained,job_url,State,City
NGS Research Associate,MedGenome,,"Foster City, CA",$33 - $36 an hour,Collaborate with bioinformatics scientists to assist in data interpretation for single cell and TCR projects and generate presentations and reports for…,30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CACFoDuhKeuezHXTzqu1ypuAHcNQAuN0-GYOusV_mxh_6caC8tkrVXqWQkpLOSPvAOK7nWmBbjknerPQyC9T3mT_o3OmomZxDa_4YhkBMmXEiU2Vl0DVPFLGfr70KVtWyOSZ-taEWvob2yXKDzFfp_e-WJkEvhZwLTqy6PrEdxwN0jJpA_cXLPRu2bRUNsT3T4m_F3XUVS4ezv1ySpLN7asSnDGI_67YHS0o6GoerPgzhL2vDpiQW6vOM3RyVVbfjToz61MtadgzazDqsqAL0XtZT5Gt1ByMfSQLw2b66S5rfzV5ik-94m7wGR8TVHYhUZejLRgNKoJm8ZC6Bu5_XDkji_tEud6hQ6k2TXC5jscncWSXmA25e165yXQ-2-E96iCkTQs85zFf1lGztJMbuk6AwnGQU4DetN7_r13aNz8mE_Ah7nrppW2TrnrCQrDHmuA0TvmdRbtANV4kJhuLwG&p=13&fvj=1&vjs=3,CA,Foster City
Computational Biologist / Bioinformatics Data Scientist,Novartis,4.1,"Cambridge, MA",,"Familiarity with biological profiling technologies and the analysis tools to support them.
In this role you will work at the cutting edge of science to tackle…",8 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Alc63mq7XbG_XJWtX8RBizZIwo5v3DdAY7_u3VbNSkJ_xP7YBlPnYI-Kphl7S8MIhlog1XiH5cK2xrJQTPHiNfolQ_ARFb-Vae4hrYEXjD87cGlJaqlqa7cGqWQ6mzO6GxdXpe2Xz6YDfD_zJXZxEFKnBecDeCYtQLbWahjw_HX6-Pfp5t-326jPUVQhJszsBkP4AWuuXdZs5aROlKKaH-3_k1C_KHUKof0YM5eBe6s85PVxtPt_aoTJKDUudqP2Osq1UDoSdx3jZ5PaRFLyjgNcT5J0Bi5_AUwZatg6kP_ISUBDbhtQU5XAHa_s4kbNcy9hALZQQn00eZ5uUqRdrk3BQ3Ud1UwZnJZ4GKNhsVK0qkvAEBszYioH91C5GrqGcKbkDVKxPOcYv6ThsS1UQx9O3KrO10oQQ=&p=14&fvj=0&vjs=3,MA,Cambridge
Computational Biologist / Bioinformatics Scientist,"Aperiomics, Inc",,"Sterling, VA","$68,000 - $75,000 a year","Experience in bioinformatics and NGS data analysis, including the development of multistep analysis pipelines/workflows using scripting languages.",10 days ago,2020-10-29,"https://www.indeed.com/company/Aperiomics,-Inc/jobs/Computational-Biologist-fb2a36f5c77b4b42?fccid=6141cd62bd6b1288&vjs=3",VA,Sterling
Bioinformatics Scientist - Translational,SEMA4,2.7,"Stamford, CT",,Hands-on experience working with NGS tools (including for sequence analysis and expression analysis) with high proficiency.,3 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=b30773769c1c9d5b&fccid=c45ea75bef90caa9&vjs=3,CT,Stamford
Assistant Professor,Florida Gulf Coast University,4.3,"Fort Myers, FL","$56,000 a year","In the area of scholarship, the candidate should demonstrate their ability to establish an active and welcoming research program in Genomics/Bioinformatics that…",Just posted,2020-10-29,https://www.indeed.com/rc/clk?jk=036e20272e88deb5&fccid=670da26828e9c913&vjs=3,FL,Fort Myers
Bioinformatics Analyst,J. Craig Venter Institute,3.9,"La Jolla, CA",,"Efficient and effective oral and written communication with immunology/infectious disease researchers, project PI, and other bioinformaticians in the group for…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=8c7c50e519f2d3cb&fccid=155c1b7b471b7dc4&vjs=3,CA,La Jolla
Bioinformatics Intern - AI,NVIDIA,4.2,"Santa Clara, CA",,"Collaborate with our multiple AI infrastructure and research teams.
Pursuing BS, MS or PhD Degree in a quantitative discipline such as Statistics, Physics,…",19 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=42592b6f5eb8639b&fccid=c267f29f0f85e8b8&vjs=3,CA,Santa Clara
Senior Software Engineer,GeneDx,2.8,"Gaithersburg, MD",,"5+ years bioinformatics development experience.
Creates analytic solutions for clinical genetic data, including NGS, WES, and WGS sequence data; copy-number and…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C22RQyyL42bfzGgiJ-D_wNw0w1e-dSgQ2QMhU6Mw-t41NxG64EK2P7Y2nc7A29KgvoRM1Eh34-Ks_O3msMdkebGKjLfBSjHkWOceLCvMMF_nLycn1TGDkf2zs7Wbcv6aDKF--seq5a78XBhRF6xy18YbaBMmFeoY_NGQhw0TmsrayPU-UwUCZ5UOMZJ9FGVo8euEqlHlri0QIqvVNJAjp6s8DhtCdOdCZiIfkAqgLbCCTdSdXZqj24Dc5qraG6vwMq4SB5zUR8prKqJi4hH6CVxBpXFZ2MYRMVOi-2npC6mo8wh75lPoNny35h-gZRXjoYL8w37OzJbZe3tJ8o0UsEnrcvGY4Y4zLlPVXjljQzzVfmBn6oRegZaVthP86gx3nEoeFYmCVwui2L7bec2ChzFqd0DTOTBTfVLx_Y-tfHWM1PjTnO5CEDABxpM9iPa4oK8WBte5V0n1s2gwvDA4E9Rs-4iLhxtZpYAVAb62voBTBAr3U9lLIcNMJsQjyBaXU9LHZlE--9qFGx5L2jfRVKOuBeq2z5Q4NPLbvD3cTni8bJiTmdOhFH&p=10&fvj=0&vjs=3,MD,Gaithersburg
Laboratory Technologist - Immediate Openings,AdvaGenix,,"Rockville, MD",$20 - $30 an hour,"Understanding of the biology of human cell-free nucleic acids, single-cell analysis methods, and cancer genomics.
Type: Full-time, non-exempt, permanent.",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXSba7HSu1IEvOSNb375QrBmyj8OOR6lmdn0HUU2HHPa_BqmJVLZPD1qkC2nJhZb2w_9UW1GFPm8bxZIzu99d3qujkf9AR1dDowYdnmrKmR4LylNhcQmnf12tBUaG8rJItcG5zGA3IzD53VheUC2ta--xQjAsa_e4YByEfk8tcBc1V0epeES_jJVFLbEPwW5hPoOHQ0cYRpEEIIokKKRql2ylS7GBUbqilxTK3Ovm-QO9nRwq-80Uq0BpbQLAAd07MvkQ5t1VYiopU0pV0tjNgwdtlODvUg5LDsd8mmaax0kL-ac-zg7yYJN-nS8aBQquInt7lsgchR7o3uWruJGUqiAZGHzj7m92W9lQCzSOmcQH0Zi5HK34mA3ndnu5WsdDzib79jbeKOD9OwIH-E0Nd4TKYtI08M7oBMqDcISO7CVdeLY2v2BO0QU3IU4iCoeSP5pYgcspIAgUzthqNrPfrv0dBLtCO4GtIeceMRlW04A==&p=11&fvj=1&vjs=3,MD,Rockville
"Scientist, Computational Biology- Cancer Discovery",Monte Rosa Therapeutics,,"Boston, MA","$87,639 - $174,948 a year",The candidate will be a highly creative computational biologist/ data scientist with strong programming and data analysis background and an ambition to tackle…,15 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnYcyEo4Iu3Caq-9bAwapOFs3kgehu-RjY26doX6ev91jOmAfZtS9xaiWdeHsro3_wd7cmoI4kjmS_-iMowvKsBkE1QixvMZbvQSW7BLJZAxuQMM0kKwh_B0i7J4nUIDQqwhbCSE3ID3wYU4bizgE5FDqRVR9iTQ7OS-PhryjzFL2XVmlgZ5NYAA0OneDrqIaKDJPXsJ_rGjdX-aZKgYXLO1SnOCIbJryBSxkL_pYBhMLHM16x1T3Eog58v_n4zGLXOhdIwS7TwFUIHPhQ87J_7_RW0ELCuJu6hNESIQhMHnUUOh-jIZTc4VUT1Pwvl9QW9wb-ZoWILTamvNmYKh7mZL-FuLoe8dl67K2szpCEdBU8_mRqOyTWvK3YGdG-yFZNGS3RNT8qyQnyCYT3lejQy-9_90xbRMdw7YMdTAD2htO6SXrtDGQcAj7JXLDNGuEzvgKIdmPwfJg7-a8UdMHgYcpn9oYdWkFMFAbF6YWND4wGX9k3WKBtGPJgsHzirsE=&p=12&fvj=1&vjs=3,MA,Boston
